¿Cuántos dedos en total tiene un ser humano?;A. 2|B. 8|C. 20|D. 25;C;General|Facil;Un ser humano normalmente tiene 20 dedos en total: 10 en las manos y 10 en los pies.
¿Quién fue el ganador de la Copa Libertadores 2020?;A. Flamengo|B. Botafogo|C. San Lorenzo|D. Palmeiras;D;Deportes|Dificil;Palmeiras ganó la Copa Libertadores 2020 tras vencer a Santos en la final.
¿Cuál es el río más largo del mundo?;A. Amazonas|B. Nilo|C. Yangtsé|D. Misisipi;A;Geografía|Facil;El Amazonas es considerado el río más largo del mundo, ubicado en América del Sur.
¿Qué elemento químico tiene el símbolo 'O'?;A. Oro|B. Osmio|C. Oxígeno|D. Óxido;C;Ciencia|Medio;El símbolo 'O' corresponde al oxígeno, un elemento esencial para la respiración.
¿En qué país se encuentra la Torre Eiffel?;A. Italia|B. Francia|C. España|D. Alemania;B;Geografía|Medio;La Torre Eiffel es un ícono de Francia, ubicada en su capital, París.
¿Qué planeta es conocido como el planeta rojo?;A. Venus|B. Júpiter|C. Marte|D. Saturno;C;Ciencia|Dificil;Marte es conocido como el planeta rojo por el óxido de hierro en su superficie.
¿Cuántos minutos tiene una hora?;A. 60|B. 100|C. 30|D. 120;A;General|Facil;Una hora tiene 60 minutos, según el sistema de medición del tiempo estándar.
¿Cuál es la capital de Australia?;A. Sydney|B. Melbourne|C. Canberra|D. Brisbane;C;Geografía|Medio;Canberra es la capital de Australia desde 1913.
¿Quién escribió 'Cien años de soledad'?;A. Mario Vargas Llosa|B. Gabriel García Márquez|C. Pablo Neruda|D. Isabel Allende;B;Literatura|Facil;Gabriel García Márquez, escritor colombiano, autor de esta famosa novela.
¿Qué velocidad tiene la luz en el vacío?;A. 300,000 km/s|B. 150,000 km/s|C. 3,000 km/s|D. 30,000 km/s;A;Ciencia|Dificil;La velocidad de la luz en el vacío es aproximadamente 300,000 kilómetros por segundo.
¿Cuál es el metal más ligero?;A. Aluminio|B. Litio|C. Magnesio|D. Titanio;B;Ciencia|Medio;El litio es el metal más ligero y es usado en baterías recargables.
¿En qué año comenzó la Primera Guerra Mundial?;A. 1912|B. 1914|C. 1918|D. 1939;B;Historia|Facil;La Primera Guerra Mundial comenzó en 1914 y terminó en 1918.
¿Cuál es el país con mayor número de idiomas oficiales?;A. Sudáfrica|B. India|C. Bolivia|D. Suiza;A;General|Medio;Sudáfrica tiene 11 idiomas oficiales reconocidos.
¿Qué instrumento mide la presión atmosférica?;A. Barómetro|B. Termómetro|C. Anemómetro|D. Higrómetro;A;Ciencia|Facil;El barómetro es el instrumento utilizado para medir la presión atmosférica.
