Pregunta;Opciones;Respuesta;Categoria|Dificultad;Descripcion
¿Cuántos colores tiene la bandera de Francia?;A. Uno|B. Dos|C. Tres|D. Cuatro;C;Geografía|Facil;La bandera de Francia tiene tres colores: azul, blanco y rojo.
¿Cuántos dedos en total tiene un ser humano?;A. 2|B. 8|C. 20|D. 25;C;General|Facil;Un ser humano normalmente tiene 20 dedos en total: 10 en las manos y 10 en los pies.
¿Cuál es el río más largo del mundo?;A. Amazonas|B. Nilo|C. Yangtsé|D. Misisipi;A;Geografía|Facil;El Amazonas es considerado el río más largo del mundo, ubicado en América del Sur.
¿Cuántos minutos tiene una hora?;A. 60|B. 100|C. 30|D. 120;A;General|Facil;Una hora tiene 60 minutos, según el sistema de medición del tiempo estándar.
¿Qué instrumento mide la presión atmosférica?;A. Barómetro|B. Termómetro|C. Anemómetro|D. Higrómetro;A;Ciencia|Facil;El barómetro es el instrumento utilizado para medir la presión atmosférica.
¿En qué año comenzó la Primera Guerra Mundial?;A. 1912|B. 1914|C. 1918|D. 1939;B;Historia|Facil;La Primera Guerra Mundial comenzó en 1914 y terminó en 1918.
¿Quién escribió 'Cien años de soledad'?;A. Mario Vargas Llosa|B. Gabriel García Márquez|C. Pablo Neruda|D. Isabel Allende;B;Literatura|Facil;Gabriel García Márquez, escritor colombiano, autor de esta famosa novela.
¿Cuál es el océano más grande del planeta?;A. Atlántico|B. Índico|C. Pacífico|D. Ártico;C;Geografía|Medio;El océano Pacífico es el más grande y profundo del mundo.
¿Qué tipo de animal es un ornitorrinco?;A. Mamífero|B. Reptil|C. Ave|D. Pez;A;Ciencia|Medio;El ornitorrinco es un mamífero que pone huevos y vive en Australia.
¿Quién pintó la Capilla Sixtina?;A. Leonardo da Vinci|B. Miguel Ángel|C. Rafael|D. Donatello;B;Arte|Medio;Miguel Ángel fue el artista que pintó el techo de la Capilla Sixtina en el Vaticano.
¿Qué día se celebra la independencia de Estados Unidos?;A. 1 de julio|B. 4 de julio|C. 14 de julio|D. 7 de julio;B;Historia|Medio;El 4 de julio se celebra la independencia de Estados Unidos desde 1776.
¿Qué elemento químico tiene el símbolo 'O'?;A. Oro|B. Osmio|C. Oxígeno|D. Óxido;C;Ciencia|Medio;El símbolo 'O' corresponde al oxígeno, un elemento esencial para la respiración.
¿En qué país se encuentra la Torre Eiffel?;A. Italia|B. Francia|C. España|D. Alemania;B;Geografía|Medio;La Torre Eiffel es un ícono de Francia, ubicada en su capital, París.
¿Cuál es la capital de Australia?;A. Sydney|B. Melbourne|C. Canberra|D. Brisbane;C;Geografía|Medio;Canberra es la capital de Australia desde 1913.
¿Cuál es el país con mayor número de idiomas oficiales?;A. Sudáfrica|B. India|C. Bolivia|D. Suiza;A;General|Medio;Sudáfrica tiene 11 idiomas oficiales reconocidos.
¿Cuál es el metal más ligero?;A. Aluminio|B. Litio|C. Magnesio|D. Titanio;B;Ciencia|Medio;El litio es el metal más ligero y es usado en baterías recargables.
¿Qué planeta es conocido como el planeta rojo?;A. Venus|B. Júpiter|C. Marte|D. Saturno;C;Ciencia|Dificil;Marte es conocido como el planeta rojo por el óxido de hierro en su superficie.
¿Qué velocidad tiene la luz en el vacío?;A. 300,000 km/s|B. 150,000 km/s|C. 3,000 km/s|D. 30,000 km/s;A;Ciencia|Dificil;La velocidad de la luz en el vacío es aproximadamente 300,000 kilómetros por segundo.
¿Quién fue el ganador de la Copa Libertadores 2020?;A. Flamengo|B. Botafogo|C. San Lorenzo|D. Palmeiras;D;Deportes|Dificil;Palmeiras ganó la Copa Libertadores 2020 tras vencer a Santos en la final.
¿Cuál es el idioma con más hablantes nativos en el mundo?;A. Inglés|B. Hindi|C. Español|D. Chino mandarín;D;General|Dificil;El chino mandarín tiene la mayor cantidad de hablantes nativos en el mundo.
¿Quién desarrolló la teoría de la relatividad?;A. Newton|B. Bohr|C. Einstein|D. Tesla;C;Ciencia|Dificil;Albert Einstein formuló la teoría de la relatividad en el siglo XX.
¿Cuál es la capital de Mongolia?;A. Bakú|B. Ulán Bator|C. Taskent|D. Astana;B;Geografía|Dificil;Ulán Bator es la capital de Mongolia y su ciudad más poblada.
¿En qué año se fundó Google?;A. 1996|B. 1997|C. 1998|D. 2000;C;Tecnología|Dificil;Google fue fundada en 1998 por Larry Page y Sergey Brin.
